Title,Year,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
Patton Oswalt: Annihilation,2017,tt7026230,66,4hZi5QaMBFc,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Patton-Oswalt-Annihilation-Movie-Poster.jpg,Bobcat Goldthwait,Patton Oswalt,Patton Oswalt
New York Doll,2005,tt0436629,75,jwD04NsnLLg,7.9,https://hydramovies.com/wp-content/uploads/2018/04/New-York-Doll-Movie-Poster.jpg,Greg Whiteley,Arthur Kane,Sylvain Sylvain
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,tt0300195,65,uCKwHHftrU4,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Mickeys-Magical-Christmas-Snowed-in-at-the-House-of-Mouse-Movie-Poster.jpg,Tony Craig,Thomas Hart,Carlos Alazraqui|Wayne Allwine
Mickey's House of Villains,2001,tt0329374,0,JA03ciYt-Ek,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Mickeys-House-of-Villains-Movie-Poster.jpg,Jamie Mitchell,Thomas Hart,Tony Anselmo|Wayne Allwine
And Then I Go,2017,tt2018111,99,8CdIiD6-iF0,7.6,https://hydramovies.com/wp-content/uploads/2018/04/And-Then-I-Go-Movie-Poster.jpg,Vincent Grashaw,Brett Haley,Arman Darbo|Sawyer Barth
An Extremely Goofy Movie,2000,tt0208185,79,H8oSvldAGfg,6.4,https://hydramovies.com/wp-content/uploads/2018/04/An-Extremely-Goofy-Movie-Movie-Poster.jpg,Douglas McCarthy,Scott Spencer Gorden,Bill Farmer|Jason Marsden|Jeff Bennett
Peter Rabbit,2018,tt5117670,95,7Pa_Weidt08,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Peter-Rabbit-Movie-Poster.jpg,Will Gluck,Rob Lieber,Fayssal Bazzi|James Corden
Love Songs,2007,tt0996605,91,s54vpKAFmS0,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Love-Songs-Movie-Poster.jpg,Christophe Honoré,Christophe Honoré,Clotilde Hesme|Louis Garrel|Ludivine Sagnier
89,2017,tt7614404,91,5hfAExhHTMM,8.1,https://hydramovies.com/wp-content/uploads/2018/04/89-Movie-Poster.jpg,Dave Stewart,Lee Dixon,Ian Wright
The Foster Boy,2011,tt2057931,107,E9Qv_XVJ-js,7.4,https://hydramovies.com/wp-content/uploads/2018/04/The-Foster-Boy-Movie-Poster.jpg,Markus Imboden,Plinio Bachmann,Katja Riemann|Maximilian Simonischek|Stefan Kurt
Forever My Girl,2018,tt4103724,108,3vqcMr1q5Uc,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Forever-My-Girl-Movie-Poster.jpg,Bethany Ashton Wolf,Bethany Ashton Wolf,Abby Ryder Fortson|Alex Roe|Jessica Rothe
Tom Segura: Disgraceful,2018,tt7379330,0,kYYINJM3lPA,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Tom-Segura-Disgraceful-Movie-Poster.jpg,Jay Karas,Tom Segura,Tom Segura
The Secret Rules of Modern Living: Algorithms,2015,tt5818010,58,hpyxmT6KSvw,7.5,https://hydramovies.com/wp-content/uploads/2018/04/The-Secret-Rules-of-Modern-Living-Algorithms-Movie-Poster.jpg,David Briggs,Marcus du Sautoy,
Secrets in the Fall,2015,tt2522908,0,eMVw1pHVMAw,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Secrets-in-the-Fall-Movie-Poster.jpg,Brittany Goodwin,Brittany Goodwin,Hollie Shay|Kyle Kupecky|Vincent Seidle
Silent Night,2017,tt7133554,100,cA6BUYVkQoE,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Silent-Night-Movie-Poster.jpg,Piotr Domalewski,Piotr Domalewski,Agnieszka Suchora|Dawid Ogrodnik|Tomasz Zietek
Suicide Squad: Hell to Pay,2018,tt7167602,86,EPZZvk-wbGE,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Suicide-Squad-Hell-to-Pay-Movie-Poster.jpg,Sam Liu,Alan Burnett,Christian Slater|Vanessa Williams
Wildling,2018,tt5085924,92,eyl1Wf90AgY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Wildling-Movie-Poster.jpg,Fritz Böhm,Fritz Böhm,Bel Powley|Brad Dourif|Liv Tyler
The Humanity Bureau,2017,tt6143568,95,kUH8JGhRzPY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/The-Humanity-Bureau-Movie-Poster.jpg,Rob W. King,Dave Schultz,Jakob Davies|Nicolas Cage|Sarah Lind
Farewell Ferris Wheel,2016,tt2349677,72,#NAME?,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Farewell-Ferris-Wheel-Movie-Poster.jpg,Miguel 'M.i.G.' Martinez,Miguel 'M.i.G.' Martinez,
Don't Talk to Irene,2017,tt5030452,90,lK48UxWuUho,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Dont-Talk-to-Irene-Movie-Poster.jpg,Pat Mills,Pat Mills,Anastasia Phillips|Bruce Gray|Michelle McLeod
Blood Road,2017,tt6900092,96,XCzVqiN950M,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Blood-Road-Movie-Poster.jpg,Nicholas Schrunk,Mark Anders,Huyen Nguyen|Ian Adamson|Rebecca Rusch
Andre the Giant,2018,tt6543420,85,f_jTeuajas0,8.2,https://hydramovies.com/wp-content/uploads/2018/04/Andre-the-Giant-Movie-Poster.jpg,Jason Hehir,Robin Wright,Cary Elwes
Dead on Arrival,2017,tt5903088,97,8jJ-kC-rq0Q,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Dead-on-Arrival-Movie-Poster.jpg,Stephen C. Sepher,Stephen C. Sepher,Christa B. Allen|D.B. Sweeney|Scottie Thompson
Big Time,2017,tt7630164,93,VK0mGdMKMW4,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Big-Time-Movie-Poster.jpg,Kaspar Astrup Schröder,Bjarke Ingels,Elisabet Ingels
Adventures in Babysitting,2016,tt4456850,105,BbTTXUMVTTU,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Adventures-in-Babysitting-Movie-Poster.jpg,John Schultz,Tiffany Paulsen,Nikki Hahn|Sabrina Carpenter|Sofia Carson
Banana in a Nutshell,2005,tt1537196,0,6vgD78Z6ut4,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Banana-in-a-Nutshell-Movie-Poster.jpg,Roseanne Liang,Roseanne Liang,
Hostiles,2017,tt5478478,134,1M5cj4UmscE,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Hostiles-Movie-Poster.jpg,Scott Cooper,Scott Cooper,Ava Cooper|Rosamund Pike|Scott Shepherd
Maze Runner: The Death Cure,2018,tt4500922,141,wnE_y4vN9nQ,6.5,https://hydramovies.com/wp-content/uploads/2018/04/Maze-Runner-The-Death-Cure-Movie-Poster.jpg,Wes Ball,T.S. Nowlin,Dylan O'Brien|Kaya Scodelario|Ki Hong Lee
